system_code,line_number,nominal_size,fluid_code,pipe_class,insulation_code,insulation_thickness,tracing,from,to,service,flow_medium,liquid_flow_bpd,water_flow_bwpd,gas_flow_mmscfd,viscosity_cp,molecular_weight,density_kg_m3,operating_pressure_min,operating_pressure_max,operating_temperature_min,operating_temperature_max,design_pressure_min,design_pressure_max,design_temperature_min,design_temperature_max,test_pressure,test_medium,design_code,schedule_wall_thickness,stress_relief,nace_mr0175,ndt_rt_pct,ndt_dpi_pct,ndt_mpi_pct,pwht,pnid_references,remarks
12,"8""-H-28-12-0121-J85S-P","8""",H,J85S,P,,,"8""-H-28-12-0120-J85S-P","8""-H-28-12-0122-J26S-P,8""-H-28-12-0123-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,602,Water,,,,,,100,,No,AD-28-D-100005-SHT-001,
12,"8""-H-28-12-0122-J26S-P","8""",H,J26S,P,,,"8""-H-28-12-0121-J85S-N,8""-H-28-12-0121-J85S-P","14""-H-28-12-0320-J26S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,"AD-28-D-100007-SHT-001,AD-28-D-100005-SHT-001",
12,"8""-H-28-12-0123-J26S-P","8""",H,J26S,P,,,"HCV-281040.B,8""-H-28-12-0121-J85S-N","8""-H-28-12-0332-J26S-P,8""-H-28-12-0104-J16-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,"AD-28-D-100001-SHT-001,AD-28-D-100005-SHT-001",
12,"8""-H-28-12-0124-J85S-P","8""",H,J85S,P,,,"8""-H-28-12-0120-J85S-P","2""-V-28-22-0110-B26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100005-SHT-001,
12,"8""-H-28-12-0220-J85S-P","8""",H,J85S,P,,,AF10 WELLHEAD,"HCV-281040.C,2""-H-28-12-0225-J26S-N,2""-H-28-12-0224-J85S-P",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100006-SHT-001,
12,"8""-H-28-12-0221-J85S-P","8""",H,J85S,P,,,"8""-H-28-12-0220-J85S-P","8""-H-28-12-0222-J26S-P,8""-H-28-12-0223-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100006-SHT-001,
12,"8""-H-28-12-0222-J26S-P","8""",H,J26S,P,,,"HCV-281040.C,8""-H-28-12-0221-J85S-P","14""-H-28-12-0320-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,"AD-28-D-100006-SHT-001,AD-28-D-100007-SHT-001",
12,"8""-H-28-12-0223-J26S-P","8""",H,J26S,P,,,"8""-H-28-12-0221-J85S-P","8""-H-28-12-0104-J16-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,"AD-28-D-100006-SHT-001,AD-28-D-100001-SHT-001",
12,"8""-H-28-12-0320-J26S-P","8""",H,J26S,P,,,HEADER,"14""-H-28-12-0321-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"8""-H-28-12-0328-J26S-P","8""",H,J26S,P,,,"HCV-281040.A,HCV-281040.A,8""-H-28-12-0102-J16-P","14""-H-28-12-0320-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,"AD-28-D-100001-SHT-001,AD-28-D-100007-SHT-001",
12,"8""-H-28-12-0331-J26S-P","8""",H,J26S,P,,,"8""-H-28-12-0332-J26S-P,8""-H-28-12-0332-J26S-N","14""-H-28-12-0320-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,"AD-28-D-100001-SHT-001,AD-28-D-100007-SHT-001",
12,"8""-H-28-12-0332-J26S-P","8""",H,J26S,P,,,BLIND HUB,"8""-H-28-12-0104-J16-P",Process Fluid,,,,,,,,,,,,,,,,,Water,,,,,100,,100,Yes,AD-28-D-100001-SHT-001,
18,"8""-H-28-18-0101-J20-N","8""",H,J20,N,,,GP-2801,"8""-H-70-90-0101-J20-N",Process Fluid,,,,,,,,95,154,36,70,,350,-10,75,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
